,Id,SalePrice
0,1461,214366.99
1,1462,259753.63
2,1463,289469.11
3,1464,293919.04
4,1465,314065.95
5,1466,285057.06
6,1467,278790.95
7,1468,277575.26
8,1469,311242.4
9,1470,217333.08
10,1471,267954.57
11,1472,207268.18
12,1473,209457.76
13,1474,252220.52
14,1475,204674.98
15,1476,483218.75
16,1477,361214.18
17,1478,412653.81
18,1479,428316.05
19,1480,574658.4
20,1481,417314.16
21,1482,322947.26
22,1483,284002.55
23,1484,263436.55
24,1485,300165.6
25,1486,303535.02
26,1487,447620.79
27,1488,335915.74
28,1489,302948.43
29,1490,360678.4
30,1491,309778.2
31,1492,197728.19
32,1493,322419.69
33,1494,421313.18
34,1495,408642.85
35,1496,362716.82
36,1497,276295.28
37,1498,268273.76
38,1499,270588.08
39,1500,263365.41
40,1501,301660.41
41,1502,251695.94
42,1503,391409.64
43,1504,341651.75
44,1505,327325.04
45,1506,300361.41
46,1507,348938.06
47,1508,319474.32
48,1509,265766.55
49,1510,249644.03
50,1511,251414.64
51,1512,272287.85
52,1513,271638.8
53,1514,266714.72
54,1515,305610.63
55,1516,267012.45
56,1517,288866.12
57,1518,230355.97
58,1519,312948.6
59,1520,225495.86
60,1521,230845.77
61,1522,283194.94
62,1523,209415.47
63,1524,224453.84
64,1525,222925.91
65,1526,212191.67
66,1527,209728.57
67,1528,231552.66
68,1529,265229.56
69,1530,300990.86
70,1531,241548.56
71,1532,213119.14
72,1533,268316.8
73,1534,232736.39
74,1535,260570.23
75,1536,213104.11
76,1537,169355.17
77,1538,281825.5
78,1539,330304.63
79,1540,239747.81
80,1541,249618.95
81,1542,257439.31
82,1543,302063.5
83,1544,194669.94
84,1545,245756.52
85,1546,262281.92
86,1547,237734.2
87,1548,260416.13
88,1549,239558.74
89,1550,261816.06
90,1551,221891.63
91,1552,254374.73
92,1553,259149.45
93,1554,225159.14
94,1555,282259.51
95,1556,187808.72
96,1557,207364.61
97,1558,204820.46
98,1559,173968.69
99,1560,236392.7
100,1561,219572.08
101,1562,232890.33
102,1563,226680.64
103,1564,271625.59
104,1565,263352.42
105,1566,351827.21
106,1567,179807.12
107,1568,342820.97
108,1569,245508.3
109,1570,245214.83
110,1571,216702.69
111,1572,244525.38
112,1573,329202.78
113,1574,245796.71
114,1575,342546.87
115,1576,345579.81
116,1577,282231.51
117,1578,265405.01
118,1579,258675.98
119,1580,309249.12
120,1581,260464.04
121,1582,243106.68
122,1583,376028.25
123,1584,325285.26
124,1585,241871.49
125,1586,154250.03
126,1587,209875.11
127,1588,281032.39
128,1589,208914.51
129,1590,226832.06
130,1591,188117.65
131,1592,234774.1
132,1593,231804.61
133,1594,250654.79
134,1595,216576.08
135,1596,333362.23
136,1597,317542.6
137,1598,327953.83
138,1599,292058.58
139,1600,274415.62
140,1601,169364.67
141,1602,222164.77
142,1603,176048.81
143,1604,372376.35
144,1605,335799.69
145,1606,258420.12
146,1607,272695.92
147,1608,307299.57
148,1609,298625.84
149,1610,281612.74
150,1611,257606.24
151,1612,304851.9
152,1613,274105.67
153,1614,256019.55
154,1615,200413.25
155,1616,177920.65
156,1617,199021.23
157,1618,216787.82
158,1619,250291.45
159,1620,291375.47
160,1621,240004.51
161,1622,251521.43
162,1623,360447.85
163,1624,311671.44
164,1625,225025.91
165,1626,285426.02
166,1627,292848.21
167,1628,383089.95
168,1629,288554.33
169,1630,469181.49
170,1631,344660.14
171,1632,357891.47
172,1633,286506.7
173,1634,295327.02
174,1635,290526.89
175,1636,257470.22
176,1637,291782.94
177,1638,299219.77
178,1639,288287.95
179,1640,351311.74
180,1641,286512.2
181,1642,371463.65
182,1643,321957.41
183,1644,336389.05
184,1645,301465.97
185,1646,267324.55
186,1647,262971.82
187,1648,244147.88
188,1649,241902.24
189,1650,221143.84
190,1651,215311.56
191,1652,213592.9
192,1653,217093.12
193,1654,251000.87
194,1655,229676.28
195,1656,253868.99
196,1657,260515.33
197,1658,253091.99
198,1659,221710.8
199,1660,246148.4
200,1661,530413.3
201,1662,486635.31
202,1663,481269.52
203,1664,584546.77
204,1665,438393.64
205,1666,439472.7
206,1667,501682.53
207,1668,465650.44
208,1669,430314.93
209,1670,469344.3
210,1671,372736.23
211,1672,515532.91
212,1673,406815.01
213,1674,349921.06
214,1675,313520.24
215,1676,314728.92
216,1677,326993.48
217,1678,560026.46
218,1679,502680.95
219,1680,442267.53
220,1681,400905.81
221,1682,442278.95
222,1683,302688.46
223,1684,284600.12
224,1685,287752.82
225,1686,266197.98
226,1687,286372.65
227,1688,296921.67
228,1689,300394.21
229,1690,306218.13
230,1691,292235.08
231,1692,376636.85
232,1693,281667.92
233,1694,293656.5
234,1695,283111.62
235,1696,354396.99
236,1697,289689.38
237,1698,464853.44
238,1699,436268.26
239,1700,386875.78
240,1701,408743.91
241,1702,330025.61
242,1703,331296.19
243,1704,371475.28
244,1705,360903.91
245,1706,507580.38
246,1707,345828.45
247,1708,311329.14
248,1709,350957.41
249,1710,321687.18
250,1711,382711.59
251,1712,358102.62
252,1713,391514.46
253,1714,326422.31
254,1715,317302.95
255,1716,283396.64
256,1717,276869.6
257,1718,240846.95
258,1719,344083.51
259,1720,324252.64
260,1721,248922.76
261,1722,218394.54
262,1723,254922.94
263,1724,309380.07
264,1725,342354.2
265,1726,292171.69
266,1727,257370.7
267,1728,261819.81
268,1729,291953.26
269,1730,288416.43
270,1731,229176.53
271,1732,231979.75
272,1733,221115.24
273,1734,232920.75
274,1735,218467.36
275,1736,210100.06
276,1737,395168.99
277,1738,384161.95
278,1739,363177.54
279,1740,317748.18
280,1741,289743.81
281,1742,281496.7
282,1743,278046.51
283,1744,428565.79
284,1745,333045.7
285,1746,285198.7
286,1747,319892.55
287,1748,308932.35
288,1749,246300.83
289,1750,233753.77
290,1751,331609.74
291,1752,216140.76
292,1753,263989.83
293,1754,301466.63
294,1755,279788.82
295,1756,239527.98
296,1757,218075.73
297,1758,253759.1
298,1759,274878.83
299,1760,260945.42
300,1761,264400.03
301,1762,289659.39
302,1763,298716.38
303,1764,217427.72
304,1765,279700.85
305,1766,281577.39
306,1767,319868.01
307,1768,243034.45
308,1769,270116.87
309,1770,263005.96
310,1771,245947.03
311,1772,232720.96
312,1773,233268.65
313,1774,253391.49
314,1775,249723.0
315,1776,226563.5
316,1777,209753.58
317,1778,248532.49
